anchor_player_id,anchor_player_name,partner_player_id,partner_player_name,pair_key,ball_companion_fit_score,ball_companion_rank_for_anchor,ball_CB_pair_fit_z_score,ball_coverage_gain_raw,ball_coverage_gain_z_within_anchor,ground_companion_fit_score,ground_companion_rank_for_anchor,ground_CB_pair_fit_z_score,ground_coverage_gain_raw,ground_coverage_gain_z_within_anchor,aerial_companion_fit_score,aerial_companion_rank_for_anchor,aerial_CB_pair_fit_z_score,aerial_coverage_gain_raw,aerial_coverage_gain_z_within_anchor,ground_companion_fit_score_z_within_anchor,aerial_companion_fit_score_z_within_anchor,ball_companion_fit_score_z_within_anchor,global_companion_fit_score_z_within_anchor,global_companion_rank_for_anchor,global_companion_rank_for_anchor_z_score
370,V. van Dijk,568412,J. Gvardiol,370__568412,2.2466473483739957,1,2.0884779705359486,0.1639125883019669,2.540390478644653,1.0708812533122467,13,1.491526068961579,0.0527563924306044,0.2896837385349148,0.9513354688507792,23,1.4635930290011987,0.0,0.0,1.2801611918771278,0.5280467150235962,3.1343531930842325,1.6475203666616522,1,1.7043362064926935
370,V. van Dijk,412968,M. Senesi,370__412968,1.613292384117024,5,1.3776673600712024,0.1390522130178893,2.050881714487836,1.5715805482239968,2,1.559583484977243,0.1180456255561826,1.5938608085393977,0.8721872149610025,36,1.3418264845553884,0.0,0.0,2.2590385792728007,-0.11014952578006271,1.9544223468998294,1.3677704667975223,2,1.648456330869982
370,V. van Dijk,349142,N. Mazraoui,370__349142,1.4989268166081526,8,1.2017203331344772,0.1390522130178893,2.050881714487836,1.7576323813218004,1,1.845817074358479,0.1180456255561826,1.5938608085393977,0.811962244348692,43,1.2491726836133723,0.0,0.0,2.622773727601806,-0.5957616265954909,1.7413610014291856,1.2561243674785,3,1.5925764552472708
370,V. van Dijk,578325,W. Saliba,370__578325,1.1641853547913417,14,1.2906732869157755,0.0820900877354332,0.9292791951316788,0.6935862856543888,24,0.8741811036423283,0.0561862235462149,0.3581959093910729,1.0963055894284377,2,1.6866239837360577,0.0,0.0,0.5425417944231059,1.6969845176232456,1.1177426537655184,1.1190896552706233,4,1.5366965796245595
370,V. van Dijk,777938,Dean Huijsen,370__777938,1.4763575287765125,9,1.112701850941093,0.1441733260736781,2.151718073328005,0.9062528348263412,20,0.877084199126398,0.0863347027296724,0.9604231582690932,0.9527022965136438,22,1.4656958407902212,0.0,0.0,0.958309258358891,0.5390678586799225,1.6993147550242047,1.0655639573543394,5,1.4808167040018483
370,V. van Dijk,240032,J. Bednarek,370__240032,0.9149323544262188,20,0.9072071325078942,0.0820900877354332,0.9292791951316788,1.253182234356241,7,1.0697399251806954,0.1180456255561826,1.5938608085393977,0.9850392637207304,16,1.5154450211088155,0.0,0.0,1.6365633475371748,0.799810577518594,0.6533880339515735,1.0299206530024474,6,1.424936828379137
370,V. van Dijk,590781,J. van Hecke,370__590781,1.9108692290516007,2,1.4270142925257985,0.1775774997383668,2.809456968313805,0.0868803046882981,51,0.545124758237391,0.0,-0.7641451090457315,1.0327611548965214,9,1.5888633152254177,0.0,0.0,-0.6435808376650638,1.1846065781333974,2.508803567958799,1.0166097694757108,7,1.3690569527564258
370,V. van Dijk,590703,I. Zabarnyi,370__590703,0.9755517780739592,19,0.9602602831606378,0.0858823608179446,1.0039502686272703,1.2652499074652526,6,1.088305576117636,0.1180456255561826,1.5938608085393977,0.925390048563622,29,1.4236769977901875,0.0,0.0,1.660155895888928,0.3188409665759538,0.7663211155195085,0.9151059926614634,8,1.3131770771337146
370,V. van Dijk,145787,J. Andersen,370__145787,1.866658487962034,3,1.6640851581399878,0.1488024038911532,2.242866100488692,-0.0122891815845169,64,0.3925563178176755,0.0,-0.7641451090457315,0.9908316258669934,15,1.524356347487682,0.0,0.0,-0.8374592166014949,0.8465161403761965,2.426439617112609,0.8118321802957702,9,1.2572972015110033
370,V. van Dijk,415847,C. Romero,370__415847,1.5967289015286226,6,1.3521850791659693,0.1390522130178893,2.050881714487836,0.955386867078098,19,0.6115932062912447,0.1180456255561826,1.5938608085393977,0.7423920428385786,55,1.142141604367044,0.0,0.0,1.0543672988066841,-1.1567271424935277,1.9235648260320155,0.6070683274483907,10,1.201417325888292
