player.id,player.name,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score,CB_aerial_duels_quality_z_score,CB_rank_for_aerial_duels_quality,CB_rank_for_aerial_duels_quality_z_score,CB_ball_passing_quality_z_score,CB_rank_for_ball_passing_quality,CB_rank_for_ball_passing_quality_z_score,global_quality_z_score,global_quality_rank,global_quality_rank_z_score
568412,J. Gvardiol,2.244288744932537,1,1.6972155256597614,0.5599300958039795,23,0.5288858853479451,2.8735926773652936,1,1.7124789837142298,1.8926038393672702,1,1.7047727121232321
370,V. van Dijk,1.3690883316039597,4,1.5577183591671782,2.370236251286697,1,1.6924348331134242,1.6993807720165668,4,1.5943769848373863,1.8129017849690745,2,1.6497800439902246
578325,W. Saliba,0.5756182721373105,24,0.6277372492166241,1.1722475340175025,7,1.3751033019046572,1.1972777243167294,12,1.2794383211658038,0.9817145101571808,3,1.594787375857217
590781,J. van Hecke,-0.0693083032461968,42,-0.2092457497388747,1.2336742503843026,5,1.4808804789742462,1.651686872074366,5,1.5550096518784384,0.938684273070824,4,1.5397947077242096
623641,E. Agbadou,1.9909718760072004,3,1.604217414664706,1.0821635681204524,8,1.3222147133698627,-0.259025895078615,55,-0.413356996068952,0.9380365163496792,5,1.484802039591202
393247,I. Konaté,0.2681082167630171,32,0.2557448052364024,1.6322846086926246,3,1.5866576560438352,0.6707609412297482,23,0.8463976586173779,0.8570512555617965,6,1.4298093714581948
349142,N. Mazraoui,2.080873056598022,2,1.6507164701622337,-0.5932919385862636,44,-0.5817744738827396,0.7944369624525209,19,1.0038669904531692,0.7606726934880931,7,1.3748167033251872
62126,M. Doherty,0.0304021993076256,39,-0.0697485832462915,1.7341074120024855,2,1.6395462445786295,0.1959488869338321,36,0.3346223301510564,0.6534861660813144,8,1.3198240351921797
777938,Dean Huijsen,0.5840893003568967,23,0.6742363047141517,0.5712396983740641,22,0.5817744738827396,0.6327990209739112,25,0.7676629926994823,0.5960426732349573,9,1.2648313670591722
590703,I. Zabarnyi,0.9886018717783376,11,1.2322249706844843,0.3452487574510928,30,0.1586657656043835,0.2891098636483803,33,0.4527243290278998,0.5409868309592701,10,1.2098386989261647
283145,T. Adarabioyo,1.023315550086802,10,1.278724026182012,-0.320330256409771,39,-0.317331531208767,0.89688823744978,15,1.1613363222889603,0.5332911770422704,11,1.1548460307931572
145787,J. Andersen,-0.8983306079593478,61,-1.092727804191901,0.8867348942690729,13,1.0577717706958902,1.5958179247340645,6,1.5156423189194907,0.5280740703479299,12,1.0998533626601497
240032,J. Bednarek,0.9005432871322057,15,1.0462287486943735,0.8388068960319481,15,0.9519945936263012,-0.2354666994536121,53,-0.3346223301510564,0.5012944945701806,13,1.0448606945271421
412968,M. Senesi,1.1613082645183272,6,1.4647202481721229,-0.1437420210125057,37,-0.211554354139178,0.4620751885297526,27,0.6889283267815867,0.49321381067852466,14,0.9898680263941347
424806,E. Pinnock,1.1519893055598125,7,1.4182211926745951,1.1987248629760918,6,1.4279918904394515,-0.9481124624861736,74,-1.1613363222889603,0.4675339020165769,15,0.9348753582611272
413002,K. Mavropanos,0.7603956530923132,18,0.9067315822017904,0.6780440089014618,20,0.6875516509523286,-0.0681551744086926,47,-0.0984183323973695,0.4567614958616941,16,0.8798826901281198
620468,J. Greaves,0.3831382269528789,30,0.3487429162314578,1.2463757979299392,4,1.5337690675090407,-0.5987891788090864,64,-0.7676629926994823,0.3435749486912439,17,0.8248900219951123
8653,H. Maguire,0.6017868333617193,22,0.7207353602116795,0.7817035086697813,17,0.8462174165567121,-0.4654837640681012,60,-0.6101936608636911,0.30600219265446643,18,0.7698973538621048
496001,M. Kilman,-0.203541201614386,45,-0.3487429162314578,1.0316822585844438,10,1.2164375363002735,-0.1433266268683706,51,-0.2558876642331608,0.2282714767005624,19,0.7149046857290974
447424,C. Bassey,0.9507507050077934,13,1.1392268596894288,-0.6092204134412542,45,-0.6346630624175341,0.2062385591455275,35,0.3739896631100042,0.1825896169040222,20,0.6599120175960899
346131,T. Chalobah,0.9358264833490342,14,1.092727804191901,0.2397465320914772,33,-0.0,-0.6456500439559024,67,-0.8857649915763257,0.17664099049486962,21,0.6049193494630823
399581,D. O'Shea,0.8693833069543362,16,0.9997296931968458,0.5443471336348253,24,0.4759972968131505,-0.8985590050316167,71,-1.043234323412117,0.17172381185251495,22,0.5499266813300748
415917,Gabriel Magalhaes,-0.5843747347804673,56,-0.8602325267042626,0.4132075706265868,27,0.317331531208767,0.6455856728850226,24,0.8070303256584301,0.15813950291038067,23,0.49493401319706737
397074,M. Guéhi,0.7908223420767692,17,0.953230637699318,-0.3056442093123408,38,-0.2644429426739725,-0.0794502228822641,48,-0.1377856653563173,0.13524263662738809,24,0.4399413450640599
9097,L. Dunk,-1.090782580743783,64,-1.2322249706844843,0.1077044361982286,34,-0.0528885885347945,1.2826539769073888,10,1.3581729870836994,0.09985861078727813,25,0.3849486769310524
479155,N. Collins,0.0771421998346801,36,0.0697485832462915,0.8041308511166497,16,0.8991060050915066,-0.5873399768613359,63,-0.7282956597405345,0.0979776913633313,26,0.32995600879804493
258154,Rúben Dias,-0.466082133677791,50,-0.5812381937190964,-1.235251306476787,58,-1.3222147133698627,1.9513904847267685,2,1.673111650755282,0.08335234819073019,27,0.2749633406650374
