pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band,ball_quality_raw,ball_complement_raw,ball_floor_raw,ball_quality_z,ball_complement_z,ball_floor_z,ball_CB_pair_fit_z_score,ball_CB_pair_fit_rank,ball_CB_pair_fit_rank_z_score,ground_quality_raw,ground_complement_raw,ground_floor_raw,ground_quality_z,ground_complement_z,ground_floor_z,ground_CB_pair_fit_z_score,ground_CB_pair_fit_rank,ground_CB_pair_fit_rank_z_score,aerial_quality_raw,aerial_complement_raw,aerial_floor_raw,aerial_quality_z,aerial_complement_z,aerial_floor_z,aerial_CB_pair_fit_z_score,aerial_CB_pair_fit_rank,aerial_CB_pair_fit_rank_z_score,global_CB_pair_fit_z_score,global_CB_pair_fit_rank,global_CB_pair_fit_rank_z_score
370__568412,V. van Dijk + J. Gvardiol,370,V. van Dijk,568412,J. Gvardiol,1612,1625,False,left,left,False,0,0.0,none,1.5449955674182718,0.407536301482471,1.1374592659358007,3.252326087695646,-0.5983531146669876,3.2091043054411106,2.0884779705359486,7,1.7261687712490623,1.0953653915385988,0.2653097706423994,0.8300556208961993,2.589807527482269,-1.0476898206669818,2.554646257102694,1.491526068961579,24,1.701596491586776,0.941263623701314,0.5815285311737719,0.3597350925275419,2.104065518204985,0.2736789389288518,1.6472829411002523,1.4635930290011987,24,1.692506317460324,1.681199022832909,1,1.7311641677321403
370__349142,V. van Dijk + N. Mazraoui,370,V. van Dijk,349142,N. Mazraoui,1612,1611,False,left,right,True,0,0.0,none,0.8425453128805349,0.558904446303276,0.2836408665772588,1.7736180989347776,-0.0154250610940626,1.5976940099765358,1.2017203331344772,181,1.5687096015519004,1.0458272764610377,0.8216150878840383,0.2242121885769993,2.4726829731406874,1.082176402069555,1.4241133358363445,1.845817074358479,6,1.7246776798675312,0.5708116348235741,0.9519805200515116,-0.3811688852279374,1.275970990464637,1.8662335412052196,0.25658563009744,1.2491726836133723,56,1.6392252528673774,1.432236697035443,2,1.7293904339537263
370__412968,V. van Dijk + M. Senesi,370,V. van Dijk,412968,M. Senesi,1612,1659,False,left,left,False,0,0.0,none,0.7302556892529668,0.9915288452071774,-0.2612731559542108,1.5372404160448985,1.6506381590092047,0.5692785217299587,1.3776673600712024,119,1.6248157424784757,0.7670688111289428,1.0116416580293293,-0.2445728469003865,1.8136053927796647,1.80971065463024,0.549337960991693,1.559583484977243,19,1.7080079327758746,0.7152215195627931,0.8174891493483546,-0.1022676297855613,1.5987794484956948,1.2880618541571114,0.780091020302038,1.3418264845553884,42,1.6625357186267915,1.4263591098679445,3,1.727616700175312
568412__578325,J. Gvardiol + W. Saliba,568412,J. Gvardiol,578325,W. Saliba,1625,1609,False,left,right,True,0,0.0,none,1.375358242454508,0.7392749535304058,0.6360832889241024,2.895227394947624,0.6791928773390479,2.262858110861282,2.103943182847783,6,1.727073709005943,0.8548315020628479,0.5357819845832773,0.3190495174795705,2.021105537816626,-0.0121620002287272,1.601084343145758,1.3271210374688462,66,1.6477403855983477,0.5564311372147724,0.3482544044947778,0.2081767327199946,1.243825363680158,-0.7291548835053938,1.3628036971328057,0.6757269562150221,292,1.2462774014943951,1.368930392177217,4,1.725842966396898
349142__568412,N. Mazraoui + J. Gvardiol,349142,N. Mazraoui,568412,J. Gvardiol,1611,1625,False,right,left,True,0,0.0,none,1.2392570386437292,0.7024502545377369,0.5368067841059923,2.608724633997798,0.5373786922433809,2.075493699316828,1.8806746645352788,20,1.7144045804096195,1.3111370471034371,0.924480294015589,0.3866567530878481,3.0999633732993472,1.4760053324143945,1.7272426895,2.338231824273992,1,1.7310891210566297,-0.0107168963501977,0.3867458341382877,-0.3974627304884854,-0.0239561494833481,-0.5636821494739958,0.2260016307263118,-0.1358823934386104,1306,-0.442066332794605,1.3610080317902202,5,1.7240692326184839
412968__568412,M. Senesi + J. Gvardiol,412968,M. Senesi,568412,J. Gvardiol,1659,1625,False,left,left,False,0,0.0,none,1.1269674150161613,0.8701643668977886,0.2568030481183723,2.372346951107919,1.183256074109254,1.5470430319641746,1.8505589041795707,26,1.708974953868338,1.0323785817713422,1.1145068641608802,-0.0821282823895378,2.440885792938325,2.2035395849750805,0.8524673146553485,2.051998234892756,3,1.7285245445809905,0.1336929883890211,0.4950501193104913,-0.3613571309214702,0.2988523085477093,-0.0980874355145338,0.2937728422969478,0.178754492078884,852,0.3138587711178269,1.360437210383737,6,1.7222954988400698
568412__623641,J. Gvardiol + E. Agbadou,568412,J. Gvardiol,623641,E. Agbadou,1625,1629,False,left,center,False,0,0.0,none,0.8833408140381835,1.0583664791432823,-0.1750256651050989,1.8594955444586836,1.9080340060807104,0.7320532930591532,1.6485686326653852,62,1.6763971946206493,1.2838842473563268,0.4536181642718963,0.8302660830844305,3.035528704762948,-0.3267337653880233,2.5550389896467545,1.9307520206944175,4,1.7272422563431704,0.5274932715329033,0.1961649594162632,0.3313283121166402,1.1791387404871327,-1.382979813562347,1.5939626265685811,0.4934679514885785,469,0.9515665129646584,1.3575962016161272,7,1.7205217650616558
393247__568412,I. Konaté + J. Gvardiol,393247,I. Konaté,568412,J. Gvardiol,1612,1625,False,right,left,True,0,0.0,none,1.1974726489681362,0.7442346442133297,0.4532380047548063,2.520765507469391,0.6982929517935722,1.9177744565281047,1.853425530578388,25,1.7098798916252185,0.7616123707426302,0.617003779663594,0.1446085910790362,1.800704555766838,0.2988031344375191,1.275569202448318,1.2451070587043382,86,1.622094620841953,0.704209833934702,0.3444747414071603,0.3597350925275419,1.574164338080324,-0.7454034663878197,1.6472829411002523,0.8929177173438666,155,1.4743869592829484,1.3304834355421977,8,1.7187480312832417
62126__568412,M. Doherty + J. Gvardiol,62126,M. Doherty,568412,J. Gvardiol,1629,1625,False,right,left,True,0,0.0,none,1.0370556845217074,0.9046516086597588,0.1324040758619483,2.183076332574289,1.3160685673666932,1.3122650220386285,1.7488117409048785,40,1.696305825272015,0.6895537564972879,0.6711214056837103,0.0184323508135775,1.630334062930291,0.5059974576671629,1.0401182824710955,1.1749899252595135,108,1.593884279609919,0.7369185915497866,0.3771834990222446,0.3597350925275419,1.6472802721377764,-0.6047901506584336,1.6472829411002523,0.9716596790914086,124,1.5260029906073656,1.298487115085267,9,1.7169742975048277
568412__590781,J. Gvardiol + J. van Hecke,568412,J. Gvardiol,590781,J. van Hecke,1625,1651,False,left,right,True,0,0.0,none,1.5288820113656882,0.4621751442555319,1.0667068671101565,3.218405900595733,-0.3879355640992425,3.075573400061099,2.1079369610803136,5,1.727978646762823,0.6593273418837685,0.7013478202972296,-0.0420204784134609,1.5588687813908255,0.6217220742122199,0.9273104017893896,1.1514130933169566,115,1.5849082619451809,0.5761633731326732,0.2549678915394662,0.3211954815932071,1.2879340662226832,-1.1301889445921225,1.574943022699703,0.6198989542736455,353,1.1447103721140903,1.2930830028903053,10,1.7152005637264136
370__578325,V. van Dijk + W. Saliba,370,V. van Dijk,578325,W. Saliba,1612,1609,False,left,right,True,0,0.0,none,0.9786465166913138,0.4230556841883593,0.5555908325029544,2.060120859884604,-0.5385870155045345,2.110944808124169,1.2906732869157755,143,1.6030972363133495,0.5895217314204483,0.4838278455843149,0.1056938858361334,1.3938251376579651,-0.2110732138297728,1.2029524948113874,0.8741811036423283,238,1.4271868086933548,1.1379596683885445,0.5042509306146898,0.6337087377738545,2.543752503628143,-0.0585336071451208,2.1615390703276103,1.6866239837360577,2,1.729137049367975,1.2838261247647205,11,1.7134268299479996
370__623641,V. van Dijk + E. Agbadou,370,V. van Dijk,623641,E. Agbadou,1612,1629,False,left,center,False,0,0.0,none,0.4866290882749891,0.6616547533800882,-0.1750256651050989,1.024389009395663,0.3802727033147803,0.7320532930591532,0.772686974304096,561,1.2248332539374085,1.0185744767139275,0.3396290241199722,0.6789454525939551,2.408248304604288,-0.7631517032430173,2.2726674307418624,1.4297121274776114,37,1.6849267444951197,1.1090218027066752,0.4137703521684105,0.6952514505382648,2.479065880435118,-0.4475050958872311,2.277056448723344,1.5606927011960583,11,1.714151749951209,1.254363934325922,12,1.7116530961695853
240032__568412,J. Bednarek + J. Gvardiol,240032,J. Bednarek,568412,J. Gvardiol,1619,1625,False,center,left,False,0,0.0,none,0.8913003732211675,1.1566319527509912,-0.2653315795298236,1.8762509853954064,2.2864604004279188,0.5616190644753342,1.7363874257211456,42,1.694495949758254,0.9533298344349894,0.5996092075129604,0.3537206269220289,2.2539883042362487,0.2322064104186191,1.6657822973539604,1.5298125347145022,21,1.7054433563002351,0.4493192855237637,0.1705435171672922,0.2787757683564715,1.004391534453955,-1.4931251144262148,1.495320044684989,0.3533222418361107,625,0.691821323074043,1.2065074007572527,13,1.7098793623911712
424806__568412,E. Pinnock + J. Gvardiol,424806,E. Pinnock,568412,J. Gvardiol,1669,1625,False,left,left,False,0,0.0,none,0.6505304327848092,1.291176860396657,-0.6406464276118479,1.3694130533470883,2.804601130928944,-0.1467121341665099,1.4967444391189253,90,1.6510589374280025,1.0295536163962618,0.3600143504458309,0.6695392659504306,2.434206636695326,-0.6851046009859502,2.255115035029041,1.4625949450576865,30,1.6939027621598577,0.5649365064154794,0.3031995480567453,0.261736958358734,1.262837948044609,-0.9228434615925534,1.4633377258447984,0.6472334807134983,322,1.1963264034385075,1.20219095496337,14,1.7081056286127572
