pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,card_discipline,discipline,possession_win_rate,duel_success_rate,interceptions_per90,duels_per90,z_card_discipline,z_discipline,z_possession_win_rate,z_duel_success_rate,z_interceptions_per90,z_duels_per90,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,CB_pair_fit_rank_z_score,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
349142__568412,J. Gvardiol + N. Mazraoui,568412,J. Gvardiol,349142,N. Mazraoui,1.0,0.9855769230769231,0.35473227752639513,0.7677224736048265,5.717202720347182,7.752108832674225,0.6035634646002853,0.5402023348986142,1.2278803502767046,1.425661580665103,2.091171105695638,1.6819436256933427,1.3111370471034371,0.924480294015589,0.38665675308784814,3.0999633732993472,1.4760053324143945,1.7272426895,2.3382318242739917,1,1.7310891210566297,1625,1611,False,left,right,True,0,0.0,none
349142__623641,E. Agbadou + N. Mazraoui,623641,E. Agbadou,349142,N. Mazraoui,1.0,0.9644501625135429,0.39104821235102927,0.7264355362946913,5.480883545098916,7.693585862489127,0.6035634646002853,-0.5671131606932405,1.7662049923441687,0.8309830881127946,1.8787101529911605,1.6452621399636917,1.2343461322787659,0.9890359070607508,0.2453102252180149,2.9184041504213667,1.7231624518082715,1.4634832847775172,2.2688474677086683,2,1.7298068328188099,1629,1611,False,center,right,False,0,0.0,none
412968__568412,M. Senesi + J. Gvardiol,412968,M. Senesi,568412,J. Gvardiol,0.9923664122137404,0.9694656488549618,0.3449333932046101,0.76126328393953,5.493365219348868,7.525875376539658,-0.2014682329845366,-0.3042368088208648,1.0826278345241078,1.332626315190833,1.8899317070597448,1.5401432477131638,1.0323785817713422,1.1145068641608802,-0.08212828238953782,2.440885792938325,2.2035395849750805,0.8524673146553485,2.051998234892756,3,1.7285245445809903,1659,1625,False,left,left,False,0,0.0,none
568412__623641,E. Agbadou + J. Gvardiol,623641,E. Agbadou,568412,J. Gvardiol,1.0,0.9788732394366197,0.4284727975697321,0.8018503175918255,3.68068487333473,4.587226017669153,0.6035634646002853,0.1888426103358154,2.3209635725560585,1.9172237099603349,0.260255262656738,-0.3017664192248137,1.2838842473563268,0.45361816427189633,0.8302660830844305,3.035528704762948,-0.32673376538802335,2.5550389896467545,1.9307520206944178,4,1.7272422563431704,1629,1625,False,center,left,False,0,0.0,none
412968__623641,E. Agbadou + M. Senesi,623641,E. Agbadou,412968,M. Senesi,0.9923664122137404,0.9483388882915815,0.38124932802924416,0.7199763466293947,5.257046044100601,7.46735240635456,-0.2014682329845366,-1.4115523044127194,1.620952476591572,0.7379478226385247,1.6774707543552672,1.503461761983513,0.955587666946671,1.1087905322934821,-0.15320286534681127,2.259326570060344,2.181654081124979,0.7198387317376769,1.928127255715201,5,1.7259599681053508,1629,1659,False,center,left,False,0,0.0,none
370__349142,V. van Dijk + N. Mazraoui,370,V. van Dijk,349142,N. Mazraoui,1.0,0.9788655136809499,0.3532847186370676,0.7186370676303562,5.258700696055684,7.442747852260613,0.6035634646002853,0.18843768081798035,1.2064226451472133,0.718657449747154,1.6789583565796824,1.4880399268130327,1.0458272764610377,0.8216150878840383,0.22421218857699937,2.4726829731406874,1.082176402069555,1.4241133358363443,1.845817074358479,6,1.7246776798675312,1612,1611,False,left,right,True,0,0.0,none
568412__645877,J. Gvardiol + Y. Mosquera,568412,J. Gvardiol,645877,Y. Mosquera,1.0,0.9852941176470589,0.3431372549019608,0.803921568627451,4.60556084782091,5.784412955465587,0.6035634646002853,0.5253796727215739,1.0560030067853636,1.947057079151922,1.0917579558528434,0.4486157885751263,1.080532054172887,0.6085957745696579,0.471936279603229,2.554736592190581,0.2666123113496414,1.8863783788423392,1.734627665268651,7,1.7233953916297113,1625,1629,False,left,right,True,0,0.0,none
534563__568412,C. Richards + J. Gvardiol,534563,C. Richards,568412,J. Gvardiol,1.0,0.990625,0.346078431372549,0.7621936274509804,4.505230996254115,6.061192250936472,0.6035634646002853,0.8047868547587828,1.0996011622075574,1.3460265650759053,1.0015571677611186,0.6220976837176116,1.0073440952596617,0.6894198760838623,0.3179242191757997,2.3816959535336544,0.5760548395132897,1.5989844825038955,1.6834613251215933,8,1.7221131033918917,1628,1625,False,right,left,True,0,0.0,none
623641__645877,E. Agbadou + Y. Mosquera,623641,E. Agbadou,645877,Y. Mosquera,1.0,0.9641673570836786,0.37945318972659486,0.7626346313173156,4.3692416725726435,5.725889985280489,0.6035634646002853,-0.5819358228702808,1.5943276488528277,1.3523785865996136,0.8792970031483658,0.4119343028454755,1.0037411393482152,0.6821202028560464,0.32162093649216894,2.3731773693125993,0.5481073672115172,1.6058827344347157,1.672197441706698,9,1.7208308151540719,1629,1629,True,center,right,False,0,0.0,none
534563__623641,C. Richards + E. Agbadou,534563,C. Richards,623641,E. Agbadou,1.0,0.9694982394366197,0.3823943661971831,0.7209066901408451,4.268911821005849,6.002669280751373,0.6035634646002853,-0.30252864083307196,1.6379258042750215,0.7513480725235971,0.7890962150566411,0.5854161979879609,0.9305531804349906,0.8068923931010578,0.12366078733393279,2.200136730655674,1.0258092070166465,1.2364795953011227,1.6551070464930555,10,1.7195485269162523,1628,1629,False,right,center,False,0,0.0,none
349142__400549,Pau Torres + N. Mazraoui,400549,Pau Torres,349142,N. Mazraoui,1.0,0.9855769230769231,0.3253205128205128,0.7328205128205127,5.04695341076447,7.095078366387771,0.6035634646002853,0.5402023348986142,0.7918987960547659,0.9229494208740613,1.4885885741940772,1.2701249227668614,0.926431821149668,0.8029135680975845,0.12351825305208358,2.190392468710722,1.0105759084691939,1.2362136194904703,1.645611730794213,11,1.7182662386784324,1614,1611,False,left,right,True,0,0.0,none
568412__583655,C. Okoli + J. Gvardiol,583655,C. Okoli,568412,J. Gvardiol,0.9941860465116279,0.9883720930232558,0.34724122207022345,0.7936616507067944,4.473785867086258,5.702787157682584,-0.009571142281177947,0.6867053912995932,1.116837642258192,1.799277831761036,0.9732866641344041,0.3974537315729172,1.0042005388218682,0.6391534910047026,0.36504704781716557,2.3742635422227334,0.38360534747892394,1.68691794233909,1.6395969638228618,12,1.7169839504406128,1631,1625,False,left,left,False,0,0.0,none
583655__623641,E. Agbadou + C. Okoli,623641,E. Agbadou,583655,C. Okoli,0.9941860465116279,0.9672453324598755,0.3835571568948575,0.752374713396659,4.237466691837992,5.644264187497486,-0.009571142281177947,-0.4206101042922616,1.6551622843256562,1.2045993392087277,0.7608257114299266,0.3607722458432664,0.9274096239971967,0.7330097153300603,0.19439990866713663,2.192704319344752,0.742942559956677,1.3684821907282965,1.5929313658050384,13,1.715701662202793,1629,1631,False,center,left,False,0,0.0,none
283145__349142,T. Adarabioyo + N. Mazraoui,283145,T. Adarabioyo,349142,N. Mazraoui,1.0,0.9855769230769231,0.3351244343891403,0.6990950226244343,5.274490169739895,7.576602759799732,0.6035634646002853,0.5402023348986142,0.9372259807954124,0.4371826147838418,1.6931537625095032,1.571938554398242,0.9410091160013023,0.6957585801283148,0.24525053587298756,2.224858034474181,0.600323152653174,1.4633719015949946,1.5852003433520419,14,1.7144193739649733,1610,1611,False,right,right,False,0,0.0,none
