,player.id,player.name,minutes_played,total_duels,yellow_cards,red_cards,duel_success_rate,possession_win_rate,discipline,card_discipline,duels_per90,interceptions_per90,z_duel_success_rate,z_possession_win_rate,z_discipline,z_card_discipline,z_duels_per90,z_interceptions_per90,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score
0,479155,N. Collins,3420.0,213,2,0,0.6807511737089202,0.26291079812206575,0.9765258215962441,0.9906103286384976,5.605263157894737,3.81578947368421,0.17296605789219424,-0.13322367397964244,0.06580755527005183,-0.3866633183444262,0.33632687496940084,0.3817200235033881,0.07714219983468017,36,0.06974858324629156
1,496001,M. Kilman,3349.0,146,2,0,0.678082191780822,0.2808219178082192,0.9863013698630136,0.9863013698630136,3.923559271424306,2.660495670349358,0.13452324151837697,0.13227953117358512,0.5781727160918518,-0.8410824584628916,-0.71774466169315,-0.656938061911129,-0.203541201614386,45,-0.3487429162314578
2,192792,D. Burn,3330.0,184,1,0,0.6467391304347826,0.2608695652173913,0.9836956521739131,0.9945652173913043,4.972972972972973,3.2162162162162162,-0.3169281299705324,-0.16348163038614602,0.4415994082426527,0.030415897298046394,-0.05998492058453727,-0.15732174221008427,-0.16988657121491488,44,-0.3022438607339301
3,424241,N. Milenković,3330.0,157,0,0,0.7133757961783439,0.3184713375796178,0.9872611464968153,1.0,4.243243243243243,3.027027027027027,0.6428764599273273,0.6903709177881961,0.6284774249338546,0.6035634646002853,-0.5173706373880695,-0.3274108402881194,0.6474867507931356,21,0.7672344157092073
4,370,V. van Dijk,3330.0,149,0,0,0.7449664429530202,0.38926174496644295,0.9865771812080537,1.0,4.027027027027027,3.0,1.0978939406767452,1.739723520229612,0.5926287977664023,0.6035634646002853,-0.6528923312557826,-0.351709282870696,1.3690883316039595,4,1.5577183591671782
5,627012,Murillo,3189.0,161,0,0,0.6521739130434783,0.3167701863354037,0.9751552795031055,1.0,4.543744120413923,2.9633113828786453,-0.23864796341782343,0.6651541186319485,-0.0060265762590286385,0.6035634646002853,-0.3290203434296379,-0.38469390436331874,0.254372625942196,33,0.2092457497388747
6,619747,L. Colwill,3150.0,184,0,0,0.7010869565217391,0.2826086956521739,0.9728260869565217,1.0,5.257142857142857,3.685714285714286,0.46587353555655386,0.15876560534311276,-0.12810639021402948,0.6035634646002853,0.11812930564160025,0.2647769175101014,0.408749137863116,29,0.3952419717289855
7,504375,M. Lacroix,3117.0,230,3,0,0.691304347826087,0.24347826086956523,0.9782608695652174,0.9869565217391304,6.641000962463908,4.590952839268527,0.3249692357616784,-0.42127941896955295,0.1567465090143116,-0.7719906969250858,0.9855147302303384,1.0786247371417768,0.19193466681586047,34,0.16274669424134697
8,590703,I. Zabarnyi,3116.0,225,1,0,0.7333333333333333,0.28444444444444444,0.9866666666666667,0.9955555555555555,6.498716302952503,4.7657252888318355,0.930335857102624,0.18597759413802828,0.5973189931541444,0.1348561206731201,0.8963324366640976,1.2357525753787975,0.9886018717783375,11,1.2322249706844843
9,578325,W. Saliba,3039.0,173,2,0,0.7630057803468208,0.31213872832369943,0.9479768786127167,0.9884393063583815,5.123395853899309,3.9091806515301086,1.3577244504431927,0.5965002897152281,-1.43052629362222,-0.6156174878114077,0.03429831115610539,0.4656826498898749,0.5756182721373105,24,0.6277372492166241
