anchor_player_id,anchor_player_name,partner_player_id,partner_player_name,CB_pair_fit_z_score,coverage_gain_raw,coverage_gain_z_within_anchor,companion_fit_score,companion_rank_for_anchor,pair_key
370,V. van Dijk,568412,J. Gvardiol,2.0884779705359486,0.1639125883019669,2.540390478644653,2.2466473483739953,1,370__568412
370,V. van Dijk,590781,J. van Hecke,1.4270142925257983,0.17757749973836684,2.809456968313805,1.9108692290516007,2,370__590781
370,V. van Dijk,145787,J. Andersen,1.6640851581399878,0.14880240389115323,2.242866100488692,1.866658487962034,3,370__145787
370,V. van Dijk,257899,J. Gomez,1.4610693399773915,0.16118733642920724,2.486729395052522,1.8200503592536872,4,370__257899
370,V. van Dijk,412968,M. Senesi,1.3776673600712024,0.13905221301788936,2.050881714487836,1.6132923841170241,5,370__412968
370,V. van Dijk,415847,C. Romero,1.3521850791659693,0.13905221301788936,2.050881714487836,1.5967289015286226,6,370__415847
370,V. van Dijk,234399,A. Webster,1.3150639455763027,0.13905221301788936,2.050881714487836,1.5726001646953394,7,370__234399
370,V. van Dijk,349142,N. Mazraoui,1.2017203331344772,0.13905221301788936,2.050881714487836,1.4989268166081526,8,370__349142
370,V. van Dijk,777938,Dean Huijsen,1.112701850941093,0.14417332607367817,2.1517180733280052,1.4763575287765125,9,370__777938
370,V. van Dijk,622200,J. Quansah,1.2070175828078527,0.11828686394271365,1.6420053300036286,1.3592632943263743,10,370__622200
370,V. van Dijk,549884,T. Harwood-Bellis,1.1211543016725236,0.12437555666920214,1.761893642944057,1.3454130711175603,11,370__549884
370,V. van Dijk,297957,M. Akanji,1.446416764708421,0.08209008773543322,0.9292791951316789,1.2654186153565612,12,370__297957
370,V. van Dijk,8582,A. Cresswell,0.9803879957038443,0.11730482936601168,1.6226687541672802,1.2051862611660469,13,370__8582
370,V. van Dijk,578325,W. Saliba,1.2906732869157755,0.08209008773543322,0.9292791951316789,1.1641853547913417,14,370__578325
370,V. van Dijk,134102,N. Aké,1.3048644335518942,0.07832963443349474,0.8552346633228489,1.1474940139717282,15,370__134102
370,V. van Dijk,386292,A. Disasi,1.235988496490585,0.08209008773543322,0.9292791951316789,1.1286402410149678,16,370__386292
370,V. van Dijk,258154,Rúben Dias,1.4941233873901323,0.049866011195458,0.29477679108789123,1.074352078684348,17,370__258154
370,V. van Dijk,8135,L. Shaw,0.9064453385463443,0.09669327344665946,1.216820606255638,1.0150766822445971,18,370__8135
370,V. van Dijk,590703,I. Zabarnyi,0.9602602831606378,0.08588236081794466,1.0039502686272703,0.9755517780739591,19,370__590703
370,V. van Dijk,240032,J. Bednarek,0.9072071325078942,0.08209008773543322,0.9292791951316789,0.9149323544262189,20,370__240032
370,V. van Dijk,475597,S. Botman,1.0712407565479045,0.05722971245135568,0.43977043097486157,0.8502261425973395,21,370__475597
370,V. van Dijk,619747,L. Colwill,0.9972220166766292,0.06344117667151129,0.56207615400874,0.844920964742868,22,370__619747
370,V. van Dijk,415953,Igor Julio,1.0106641075449507,0.042389499700794676,0.1475618814118935,0.7085783283983808,23,370__415953
370,V. van Dijk,71703,V. Lindelöf,0.9369510544330337,0.045120806813628817,0.20134219462351582,0.6794879534997025,24,370__71703
370,V. van Dijk,625787,M. van de Ven,1.0173370683592644,0.03644484206066206,0.030509665525978853,0.6719474773676145,25,370__625787
370,V. van Dijk,255738,J. Lerma,0.5587119510081461,0.07073929942661761,0.7057785321785874,0.6101852544178006,26,370__255738
370,V. van Dijk,8136,J. Stephens,0.93755386770214,0.03318945266283352,-0.03358999599445193,0.5976535154083329,27,370__8136
370,V. van Dijk,397074,M. Guéhi,0.8400776301469552,0.03577170521129134,0.017255385030265087,0.5520898443561136,28,370__397074
370,V. van Dijk,413002,K. Mavropanos,0.8410372972595277,0.03380613753239129,-0.021447273090153082,0.5391676976371395,29,370__413002
