pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,passes_per90,pass_accuracy_rate,progressive_passes_per90,final_third_passes_per90,progressive_pass_accuracy,long_pass_accuracy,z_passes_per90,z_pass_accuracy_rate,z_progressive_passes_per90,z_final_third_passes_per90,z_progressive_pass_accuracy,z_long_pass_accuracy,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,CB_pair_fit_rank_z_score,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
297957__568412,M. Akanji + J. Gvardiol,297957,M. Akanji,568412,J. Gvardiol,77.73870026949535,0.9473807943356566,10.229286391100501,12.43942507660313,0.8705550016616816,0.6462532299741602,2.13806260209871,1.3930098635862285,1.2455027467026902,2.3568729658723377,1.8897887563051456,1.1878026005580777,1.6234089319964595,0.48386312400436693,1.1395458079920924,3.4173918242063235,-0.3044138175925118,3.2130422334055986,2.2599802135065277,1,1.731598397790344,1625,1625,True,right,left,True,3,212.0,medium
145787__568412,J. Andersen + J. Gvardiol,145787,J. Andersen,568412,J. Gvardiol,73.58633569159885,0.9109238552880838,13.281874071347755,13.213375318638477,0.8319128126309907,0.5912295893122217,1.787081715178574,0.34300124213704447,2.6205953108794606,2.6452336594862684,1.451071329157288,0.6122123622637524,1.510006486075079,0.6293150393074146,0.8806914467676644,3.1786715708563986,0.2557304715274655,2.7245067520710147,2.210956277300642,2,1.7306934600334638,1616,1625,False,right,left,True,0,0.0,none
258154__568412,Rúben Dias + J. Gvardiol,258154,Rúben Dias,568412,J. Gvardiol,84.41162135431861,0.9453842264914054,10.642926008410237,13.475937969162462,0.8300653594771241,0.5893087855297158,2.702094906286651,1.3355060384012267,1.431834089678389,2.7430600363126363,1.4300965884717445,0.5921192551267324,1.6301379574612849,0.3363204468545078,1.293817510606777,3.4315569037221114,-0.8726097594250802,3.5041990064136725,2.154835325316266,3,1.7297885222765836,1625,1625,True,right,left,True,10,898.0,high
134102__568412,N. Aké + J. Gvardiol,134102,N. Aké,568412,J. Gvardiol,74.08876365633837,0.9494068832094491,9.887799320489085,11.508554920350742,0.8595438175270108,0.6121262458471761,1.8295497136815109,1.4513639339191313,1.0916738052446584,2.010046581768452,1.7647751767282411,0.830807703644519,1.473698142613443,0.5971873762044133,0.8765107664090299,3.1022399129723452,0.13200486109172782,2.716616559757273,2.1340447267651457,4,1.7288835845197033,1625,1625,True,left,left,False,0,0.0,none
568412__590781,J. Gvardiol + J. van Hecke,568412,J. Gvardiol,590781,J. van Hecke,72.43854829381145,0.9261527999654592,11.864817159007824,12.57889144123007,0.8689839572192513,0.604983388704319,1.6900643576431593,0.7816152241268837,1.9822567511771882,2.4088357607076696,1.871952174242713,0.7560878414998204,1.5288820113656882,0.46217514425553197,1.0667068671101563,3.218405900595733,-0.3879355640992425,3.075573400061099,2.1079369610803136,5,1.727978646762823,1625,1651,False,left,right,True,0,0.0,none
568412__578325,J. Gvardiol + W. Saliba,568412,J. Gvardiol,578325,W. Saliba,77.76660498539233,0.9494982587153986,9.141024974921166,10.752404970205147,0.8431865208394915,0.6322818328344463,2.1404212634712962,1.4539956707446264,0.7552759823899047,1.728317974091159,1.5790654305194276,1.0416508790033212,1.375358242454508,0.7392749535304058,0.6360832889241024,2.895227394947624,0.6791928773390479,2.262858110861282,2.103943182847783,6,1.727073709005943,1625,1609,False,left,right,True,0,0.0,none
370__568412,V. van Dijk + J. Gvardiol,370,V. van Dijk,568412,J. Gvardiol,76.25418535944851,0.941551500017104,10.545683335157019,12.638800744063904,0.8713006941907198,0.5865692340516322,2.0125831674296215,1.2251183880167096,1.388029393165842,2.431156947756671,1.8982548477970944,0.563461407897433,1.5449955674182718,0.40753630148247105,1.1374592659358007,3.252326087695646,-0.5983531146669876,3.2091043054411106,2.0884779705359486,7,1.7261687712490625,1612,1625,False,left,left,False,0,0.0,none
257899__568412,J. Gomez + J. Gvardiol,257899,J. Gomez,568412,J. Gvardiol,77.6035465971708,0.9219278833637073,12.180080202332984,12.738755806014215,0.8251050420168067,0.5971492873218305,2.1266386640284614,0.6599319733483578,2.1242726118325166,2.468398503387451,1.373780479870892,0.6741370249540224,1.4901373899492572,0.4845296023628035,1.005607787586454,3.136845703500076,-0.3018471683632975,2.960261190975571,2.069920939436163,8,1.7252638334921824,1612,1625,False,right,left,True,0,0.0,none
386292__568412,A. Disasi + J. Gvardiol,386292,A. Disasi,568412,J. Gvardiol,69.10283400809716,0.9470907928388747,9.594331983805668,9.98744939271255,0.838235294117647,0.6543340380549683,1.4081112833046676,1.3846574324768353,0.9594762093775868,1.4433085394671492,1.5228525320496193,1.2723341617722816,1.3104930354494118,0.8086738741286196,0.5018191613207924,2.758681498392738,0.9464523971823432,2.0094616067638222,2.0651687897038364,9,1.7243588957353022,1614,1625,False,right,left,True,0,0.0,none
568412__622200,J. Gvardiol + J. Quansah,568412,J. Gvardiol,622200,J. Quansah,76.11264327240235,0.9387759077450522,10.853732528764796,10.352844488080398,0.78328173374613,0.6436388508891929,2.0006192451111335,1.1451776170299,1.526795646555292,1.5794485358399246,0.8989467641942283,1.1604541542828941,1.3341075951098942,0.7378228230679408,0.5962847720419535,2.8083918341716103,0.6736006334424155,2.1877464244695433,2.0438253920124385,10,1.7234539579784218,1625,1612,False,left,right,True,0,0.0,none
