player.id,player.name,minutes_played,total_passes,accurate_passes,progressive_passes,final_third_passes,long_passes,accurate_progressive_passes,accurate_long_passes,passes_per90,pass_accuracy_rate,progressive_passes_per90,final_third_passes_per90,progressive_pass_accuracy,long_pass_accuracy,z_passes_per90,z_pass_accuracy_rate,z_progressive_passes_per90,z_final_third_passes_per90,z_progressive_pass_accuracy,z_long_pass_accuracy,CB_ball_passing_quality_z_score,CB_rank_for_ball_passing_quality,CB_rank_for_ball_passing_quality_z_score
370,V. van Dijk,3330.0,2542,2383,322,396,218,277,129,68.70270270270271,0.9374508261211645,8.702702702702704,10.702702702702704,0.860248447204969,0.591743119266055,1.3742899658800303,1.1070134933937816,0.5578258972896945,1.709799754762874,1.7727750682240437,0.6175842864938167,1.6993807720165668,4,1.5943769848373863
7919,M. Keane,1055.0,330,283,62,41,63,37,36,28.151658767772513,0.8575757575757575,5.289099526066351,3.4976303317535544,0.5967741935483871,0.5714285714285714,-2.053309200527747,-1.1934953480665618,-0.9798925360306686,-0.9746876367800236,-1.2185344197584171,0.40507825654100454,-1.5153408117055542,83,-1.5156423189194907
7953,C. Coady,1730.0,930,862,107,74,86,85,45,48.38150289017341,0.9268817204301075,5.566473988439306,3.8497109826589595,0.794392523364486,0.5232558139534884,-0.3433705621596213,0.8026091087542456,-0.8549442624168913,-0.8435083759064416,1.025091197447602,-0.0988463951325416,0.03535871383645597,43,0.059050999438421715
8135,L. Shaw,363.0,244,215,39,25,27,23,16,60.49586776859504,0.8811475409836066,9.669421487603307,6.198347107438017,0.5897435897435898,0.5925925925925926,0.6806027546671264,-0.5145964484941847,0.9933016156019523,0.03155348880332073,-1.2983551672343654,0.626470440673444,0.0066915374705375855,46,-0.059050999438421715
8136,J. Stephens,1393.0,812,763,89,73,38,67,23,52.462311557788944,0.9396551724137931,5.750179468772434,4.716439339554918,0.7528089887640449,0.6052631578947368,0.0015620223093096746,1.170501615885342,-0.7721908523709771,-0.5205801350519523,0.5529797107735456,0.7590144456474706,0.3720831115181023,29,0.6101936608636911
8360,C. Dawson,997.0,493,440,74,54,64,56,40,44.503510531594785,0.8924949290060852,6.680040120361083,4.874623871614844,0.7567567567567568,0.625,-0.6711599871847579,-0.18777649142143055,-0.353318537582447,-0.46164326946762435,0.597800013664866,0.9654772226262424,-0.12043533397315297,49,-0.17715299831526515
8582,A. Cresswell,807.0,479,417,86,66,71,63,44,53.42007434944238,0.8705636743215032,9.591078066914498,7.360594795539034,0.7325581395348837,0.6197183098591549,0.08251744608472368,-0.819425968849024,0.958010424479597,0.46458720504148926,0.3230651874446398,0.910226620336148,0.2695274470539335,34,0.41335699606895204
8653,H. Maguire,1795.0,1027,909,120,104,122,80,73,51.49303621169916,0.8851022395326192,6.016713091922006,5.214484679665738,0.6666666666666666,0.5983606557377049,-0.08036650642617775,-0.40069583916773255,-0.652126028134255,-0.33501691415566276,-0.4250222830857575,0.6868088842997034,-0.46548376406810127,60,-0.6101936608636911
9097,L. Dunk,2102.0,1706,1577,199,245,145,160,75,73.04471931493815,0.9243845252051582,8.52045670789724,10.49000951474786,0.8040201005025126,0.5172413793103449,1.74130129472543,0.7306865452001047,0.47572993852998025,1.6305538913022926,1.1343962336687101,-0.16176207697049938,1.2826539769073888,10,1.3581729870836994
9380,J. Stones,525.0,352,326,27,54,25,24,15,60.34285714285714,0.9261363636363636,4.628571428571428,9.257142857142856,0.8888888888888888,0.6,0.667669447843452,0.7811418358582535,-1.2774391982190998,1.171208748408429,2.097939382232445,0.7039577051197979,0.8261272897072073,18,1.043234323412117
