pair_key,pair_name,player.id_CB1,player.name_CB1,player.id_CB2,player.name_CB2,card_discipline,discipline,possession_win_rate,duel_success_rate,aerial_wins_per90,duels_per90,z_card_discipline,z_discipline,z_possession_win_rate,z_duel_success_rate,z_aerial_wins_per90,z_duels_per90,quality_raw,complement_raw,floor_raw,quality_z,complement_z,floor_z,CB_pair_fit_z_score,CB_pair_fit_rank,team_CB1_id,team_CB2_id,same_dominant_team,CB_dominant_playing_side_CB1,CB_dominant_playing_side_CB2,opposite_side_pair,shared_matches,shared_minutes_overlap,evidence_band
370__192792,V. van Dijk + D. Burn,370,V. van Dijk,192792,D. Burn,1.0,0.9979338842975207,0.44676713660670886,0.6626154594069033,3.7972972972972974,5.797297297297297,0.17656294072911694,0.30055450891947755,0.9147045454952188,1.3494363036012367,1.966490040987823,1.5347828997785598,1.0861973927344626,0.6315800944224395,0.4546172983120233,2.4280450476029065,0.48884811009261864,1.825379472375783,1.7257528513043954,1,1612,1613,False,left,left,False,0,0.0,none
370__578325,V. van Dijk + W. Saliba,370,V. van Dijk,578325,W. Saliba,1.0,1.0,0.5247257290920118,0.6650862781851259,2.697966969931432,3.9633547664149837,0.17656294072911694,0.53680623164123,2.0857762252413754,1.3828257409639209,0.48725304911637657,-0.1305203324321234,1.1379596683885442,0.5042509306146898,0.6337087377738545,2.5437525036281428,-0.05853360714512089,2.1615390703276103,1.6866239837360573,2,1612,1609,False,left,right,True,0,0.0,none
370__62126,V. van Dijk + M. Doherty,370,V. van Dijk,62126,M. Doherty,1.0,1.0,0.5134412487353663,0.6988004046827576,3.1789299835657454,4.531843402704331,0.17656294072911694,0.53680623164123,1.9162639887446673,1.8384219687617445,1.134427300366764,0.3856932061852671,1.3184471227235584,0.20510491073198023,1.1133422119915781,2.947207412085761,-1.3445474092578027,3.061824401339375,1.682604363533415,3,1612,1629,False,left,right,True,0,0.0,none
370__475597,V. van Dijk + S. Botman,370,V. van Dijk,475597,S. Botman,1.0,1.0,0.4733511586452763,0.6276292335115865,3.5509430293602957,5.7644370989694735,0.17656294072911694,0.53680623164123,1.3140421213882572,0.8766495462783506,1.6350006449743333,1.5049443450992683,1.1023261002346716,0.5494780777419417,0.55284802249273,2.4640985574272407,0.13589564001194135,2.0097612655331316,1.6747702238238291,4,1612,1613,False,left,right,True,0,0.0,none
370__393247,V. van Dijk + I. Konaté,370,V. van Dijk,393247,I. Konaté,1.0,1.0,0.5144969919786097,0.6734625668449198,3.223469291288957,4.76565897417044,0.17656294072911694,0.53680623164123,1.9321230617965395,1.4960188120231948,1.1943585056982746,0.5980083798327049,1.2857383651084742,0.248915019483375,1.036823345625099,2.8740914780283098,-1.156209939321076,2.9181963673541587,1.6738220306886638,5,1612,1612,True,left,right,True,30,2475.0,very_high
370__136441,V. van Dijk + B. Davies,370,V. van Dijk,136441,B. Davies,1.0,1.0,0.4658681654479974,0.6211666484775729,3.5243243243243243,5.793693693693694,0.17656294072911694,0.53680623164123,1.2016347377542012,0.789317330700228,1.5991830456734282,1.5315106638018963,1.0428010648222545,0.6143163768948843,0.42848468792737027,2.331038518424883,0.41463225047691865,1.7763278380445455,1.6451745019644262,6,1612,1624,False,left,left,False,0,0.0,none
370__620468,V. van Dijk + J. Greaves,370,V. van Dijk,620468,J. Greaves,1.0,0.9954954954954955,0.4729007081948259,0.6852868911692441,3.57947058651284,5.232877514567655,0.17656294072911694,0.02173490822983895,1.3072755835527918,1.6558069518345182,1.6733867576624866,1.0222640652591803,1.1617720496815673,0.39349607232702827,0.7682759773545391,2.5969818106186553,-0.5346632125626102,2.414125510477203,1.6209170436359852,7,1612,1634,False,left,left,False,0,0.0,none
370__424806,V. van Dijk + E. Pinnock,370,V. van Dijk,424806,E. Pinnock,1.0,1.0,0.46358104370274755,0.6799280840862991,3.5577964742462402,5.244361748526247,0.17656294072911694,0.53680623164123,1.1672782490259235,1.583390652018549,1.6442225039048814,1.0326922720370144,1.1464650375892513,0.4108887257749111,0.7355763118143405,2.5627650879925943,-0.45989306386362416,2.352747331519101,1.61396409114103,8,1612,1669,False,left,left,False,0,0.0,none
370__590781,V. van Dijk + J. van Hecke,370,V. van Dijk,590781,J. van Hecke,1.0,1.0,0.4867458416718612,0.6646435484400118,3.3253351059954834,4.998388213010855,0.17656294072911694,0.53680623164123,1.5152532188637187,1.376842907571454,1.3314271169882708,0.8093371140457759,1.1576919043064453,0.36510025056864054,0.7925916537378047,2.587861206170669,-0.656735432403396,2.4597667093055104,1.588863315225418,9,1612,1651,False,left,right,True,0,0.0,none
370__496001,M. Kilman + V. van Dijk,496001,M. Kilman,370,V. van Dijk,1.0,1.0,0.47171039871436093,0.6614807015599458,3.38299855543809,5.120338463276654,0.17656294072911694,0.53680623164123,1.2893950949720283,1.334101740667383,1.4090179060087074,0.9200734880142845,1.0928055833134556,0.4420244232461607,0.650781160067295,2.442816749796508,-0.3260422551444196,2.1935844803788815,1.5623125944307046,10,1633,1612,False,left,left,False,0,0.0,none
370__623641,V. van Dijk + E. Agbadou,370,V. van Dijk,623641,E. Agbadou,1.0,1.0,0.5066844919786097,0.6665181224004754,2.8767693987396328,4.249209876070259,0.17656294072911694,0.53680623164123,1.8147659212126883,1.4021749838800368,0.7278460359061669,0.12904910883267323,1.1090218027066752,0.4137703521684105,0.6952514505382648,2.479065880435118,-0.4475050958872311,2.277056448723344,1.5606927011960583,11,1612,1629,False,left,center,False,0,0.0,none
370__479155,N. Collins + V. van Dijk,479155,N. Collins,370,V. van Dijk,1.0,0.9976525821596245,0.45621500841053453,0.6590846325726193,3.495376955903272,5.329658605974396,0.17656294072911694,0.2683887814127616,1.05662777359119,1.3017224354451062,1.5602320433042365,1.1101456982016167,1.0197087563759226,0.5531356922211602,0.4665730641547626,2.2794188353581775,0.1516195420211557,1.847820776387737,1.554759435562983,12,1669,1612,False,right,left,True,0,0.0,none
370__8360,V. van Dijk + C. Dawson,370,V. van Dijk,8360,C. Dawson,1.0,1.0,0.47890671420083186,0.708184789067142,2.9527094797907236,4.151901650898642,0.17656294072911694,0.53680623164123,1.397496088025662,1.9652379527389854,0.8300294963821955,0.040688814455827615,1.0820814444967255,0.4407107103783603,0.6413707341183653,2.4188444107742093,-0.3316898411650083,2.175920849928126,1.5450994230232276,13,1612,1629,False,left,left,False,0,0.0,none
370__399581,V. van Dijk + D. O'Shea,370,V. van Dijk,399581,D. O'Shea,1.0,1.0,0.4282821251147043,0.6568205550106003,3.61003861003861,5.54488416988417,0.17656294072911694,0.53680623164123,0.6370279896729754,1.2711267978339695,1.7145184812601264,1.305580299448843,0.9362578753232732,0.6756734935232549,0.2605843818000183,2.092875855405068,0.6784034310958685,1.4611743076839365,1.542193818568082,14,1612,1634,False,left,right,True,0,0.0,none
370__145787,V. van Dijk + J. Andersen,370,V. van Dijk,145787,J. Andersen,1.0,0.9963503649635037,0.4756625941683907,0.6711815449471096,3.2553007553007554,4.833424333424334,0.17656294072911694,0.11948567033711163,1.3487638447337469,1.4651941969396756,1.2371902896485105,0.6595424082426006,1.046243830422906,0.47654832445217976,0.5696955059707262,2.338734347951481,-0.1776257277538061,2.041384459190416,1.524356347487682,15,1612,1616,False,left,right,True,0,0.0,none
370__240032,V. van Dijk + J. Bednarek,370,V. van Dijk,240032,J. Bednarek,1.0,1.0,0.48168449197860963,0.6567959001782531,3.0861726655565516,4.659728448827975,0.17656294072911694,0.53680623164123,1.4392230713443648,1.270793624479615,1.009614900808248,0.5018186447281309,1.0308478166975357,0.4919443381775501,0.5389034785199855,2.30431867440194,-0.11143903352298988,1.9835869698237136,1.5154450211088157,16,1612,1619,False,left,center,False,0,0.0,none
370__7919,V. van Dijk + M. Keane,370,V. van Dijk,7919,M. Keane,1.0,1.0,0.43410384681731934,0.6835432120062102,3.5304854617650827,5.171576790060202,0.17656294072911694,0.53680623164123,0.7244802280465878,1.632243723843908,1.607473349495221,0.9666002192334247,0.9891347661697477,0.5550005866336968,0.43413417953605093,2.2110748805649525,0.1596366299802239,1.786932090450541,1.5108148473666516,17,1612,1623,False,left,left,False,0,0.0,none
370__8653,V. van Dijk + H. Maguire,370,V. van Dijk,8653,H. Maguire,1.0,1.0,0.46413130048924794,0.6641540562066219,3.2532936836558006,4.883572988029813,0.17656294072911694,0.53680623164123,1.1755440490963929,1.3702281487674721,1.2344896140202242,0.7050796675619222,1.0125043730334924,0.5102877818415934,0.5022165911918992,2.263314426148003,-0.03258148516087122,1.9147246650068388,1.504827700527108,18,1612,1611,False,left,center,False,0,0.0,none
